threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,brier_score,ece_10bin,true_negative,false_positive,false_negative,true_positive,false_positive_rate,false_negative_rate,predicted_positive_rate,n,positive_prevalence,calibration_intercept,calibration_slope,subgroup_variable,subgroup,n_positive,n_total,reliability_note,threshold_strategy
0.5,0.8902305159165752,0.5613686806411837,0.5,0.14,0.9827373612823674,0.21875,0.767268803945746,0.08592093055594598,0.01959047705286748,797,14,86,14,0.01726263871763255,0.86,0.030735455543358946,911,0.10976948408342481,-0.2132229282523349,0.9927097104487712,AgeGroup,18–34,100,911,CAUTION: fewer than 150 positive cases; estimates unreliable,default_0_50
0.5,0.7423756019261637,0.6188437796401971,0.6157894736842106,0.32054794520547947,0.9171396140749148,0.42162162162162165,0.7732853388894936,0.17045688578822354,0.035691482459836284,808,73,248,117,0.08286038592508513,0.6794520547945205,0.15248796147672553,1246,0.2929373996789727,0.1184720978750993,0.9624402927586654,AgeGroup,35–44,365,1246,,default_0_50
0.5,0.7040457343887423,0.6865137094536726,0.6423529411764706,0.5967213114754099,0.7763061074319353,0.6186968838526912,0.761628005162909,0.19395484094908402,0.025038302882444265,1055,304,369,546,0.22369389256806477,0.40327868852459015,0.3737906772207564,2274,0.4023746701846966,-0.09419765466387166,0.9494756937963594,AgeGroup,45–54,915,2274,,default_0_50
0.5,0.6934968017057569,0.6885247307108,0.6994485294117647,0.7542120911793855,0.6228373702422145,0.7257987601335241,0.7550111282197249,0.199650102817127,0.018105308995393476,1080,654,496,1522,0.3771626297577855,0.24578790882061446,0.579957356076759,3752,0.5378464818763327,0.0482110725477559,0.982069476681834,AgeGroup,55–64,2018,3752,,default_0_50
0.5,0.6977356503422855,0.6445059918039847,0.7089267106634248,0.8681412165036155,0.42087076710435384,0.7804971319311663,0.7331822509617428,0.1981492665420313,0.009155284509694436,609,838,310,2041,0.5791292328956462,0.13185878349638452,0.758030542390732,3798,0.6190100052659294,-0.03447929167560134,1.07305986166092,AgeGroup,65–74,2351,3798,,default_0_50
0.5,0.6714550509731233,0.616403594416721,0.6832633473305338,0.8628787878787879,0.36992840095465396,0.7626380984265149,0.6989635314963477,0.2094697998899346,0.016096830475070694,310,528,181,1139,0.630071599045346,0.13712121212121212,0.7724745134383688,2158,0.6116774791473587,-0.020898891703649468,1.0403204874814491,AgeGroup,75+,1320,2158,,default_0_50
0.53,0.8957189901207464,0.5644512946979039,0.6086956521739131,0.14,0.9889025893958077,0.22764227642276422,0.767268803945746,0.08592093055594598,0.01959047705286748,802,9,86,14,0.011097410604192354,0.86,0.025246981339187707,911,0.10976948408342481,-0.2132229282523349,0.9927097104487712,AgeGroup,18–34,100,911,CAUTION: fewer than 150 positive cases; estimates unreliable,youden_j
0.53,0.7407704654895666,0.6088831184985928,0.6235294117647059,0.29041095890410956,0.927355278093076,0.39626168224299063,0.7732853388894936,0.17045688578822354,0.035691482459836284,817,64,259,106,0.07264472190692395,0.7095890410958904,0.13643659711075443,1246,0.2929373996789727,0.1184720978750993,0.9624402927586654,AgeGroup,35–44,365,1246,,youden_j
0.53,0.6987686895338611,0.6744218868743893,0.6481958762886598,0.5497267759562842,0.7991169977924945,0.5949142519219397,0.761628005162909,0.19395484094908402,0.025038302882444265,1086,273,412,503,0.20088300220750552,0.45027322404371584,0.3412489006156552,2274,0.4023746701846966,-0.09419765466387166,0.9494756937963594,AgeGroup,45–54,915,2274,,youden_j
0.53,0.6900319829424307,0.6885907455735749,0.7136431784107946,0.707631318136769,0.6695501730103807,0.7106245334660364,0.7550111282197249,0.199650102817127,0.018105308995393476,1161,573,590,1428,0.3304498269896194,0.2923686818632309,0.533315565031983,3752,0.5378464818763327,0.0482110725477559,0.982069476681834,AgeGroup,55–64,2018,3752,,youden_j
0.53,0.6951026856240127,0.6532743348784517,0.7205175600739372,0.8290089323692046,0.47753973738769867,0.7709651898734177,0.7331822509617428,0.1981492665420313,0.009155284509694436,691,756,402,1949,0.5224602626123013,0.1709910676307954,0.7122169562927857,3798,0.6190100052659294,-0.03447929167560134,1.07305986166092,AgeGroup,65–74,2351,3798,,youden_j
0.53,0.6672845227062094,0.6232344326318073,0.6924552429667519,0.8204545454545454,0.42601431980906923,0.7510402219140083,0.6989635314963477,0.2094697998899346,0.016096830475070694,357,481,237,1083,0.5739856801909308,0.17954545454545454,0.7247451343836886,2158,0.6116774791473587,-0.020898891703649468,1.0403204874814491,AgeGroup,75+,1320,2158,,youden_j
0.35000000000000003,0.8803512623490669,0.6215721331689272,0.43283582089552236,0.29,0.9531442663378545,0.3473053892215569,0.767268803945746,0.08592093055594598,0.01959047705286748,773,38,71,29,0.0468557336621455,0.71,0.07354555433589462,911,0.10976948408342481,-0.2132229282523349,0.9927097104487712,AgeGroup,18–34,100,911,CAUTION: fewer than 150 positive cases; estimates unreliable,recall_at_least_80
0.35000000000000003,0.7255216693418941,0.6711115948564054,0.5309973045822103,0.5397260273972603,0.8024971623155505,0.5353260869565217,0.7732853388894936,0.17045688578822354,0.035691482459836284,707,174,168,197,0.19750283768444948,0.4602739726027397,0.29775280898876405,1246,0.2929373996789727,0.1184720978750993,0.9624402927586654,AgeGroup,35–44,365,1246,,recall_at_least_80
0.35000000000000003,0.6693051890941073,0.6919046068106973,0.5619771863117871,0.8076502732240437,0.5761589403973509,0.662780269058296,0.761628005162909,0.19395484094908402,0.025038302882444265,783,576,176,739,0.423841059602649,0.1923497267759563,0.5782761653474054,2274,0.4023746701846966,-0.09419765466387166,0.9494756937963594,AgeGroup,45–54,915,2274,,recall_at_least_80
0.35000000000000003,0.6671108742004265,0.6480473317992737,0.634299685644429,0.8999008919722498,0.3961937716262976,0.7441098135627945,0.7550111282197249,0.199650102817127,0.018105308995393476,687,1047,202,1816,0.6038062283737025,0.10009910802775025,0.7630597014925373,3752,0.5378464818763327,0.0482110725477559,0.982069476681834,AgeGroup,55–64,2018,3752,,recall_at_least_80
