feature,permutation_mean,shap_mean,perm_rank,shap_rank,rank_diff,perm_norm,shap_norm,scale_ratio,discrepancy_note
BMI,0.10730964458882086,0.12278980846314627,1.0,1.0,0.0,0.9999999999906811,0.999999999991856,0.9999990000021748,Consistent
Age,0.08948466979245019,0.10671971436627752,2.0,2.0,0.0,0.8338921458038124,0.8691251798591972,1.0422500583350205,Consistent
Income,0.024960506312909136,0.05772618045624744,3.0,3.0,0.0,0.23260263705390027,0.4701219195492357,2.021128841765687,Moderate discrepancy
Sex,0.004893864716519258,0.028170822846963185,4.0,4.0,0.0,0.045605078045179534,0.2294231353507556,5.0305385857446066,Large-scale discrepancy (likely correlated lifestyle cluster underestimated by permutation)
HvyAlcoholConsump,0.004315829479445099,0.008489394595981622,5.0,8.0,3.0,0.040218467742968264,0.06913761575302452,1.7190087197290702,Moderate discrepancy
PhysActivity,0.003195980221151884,0.02085107334474462,6.0,5.0,1.0,0.029782786378318195,0.1698111073349624,5.701461364851192,Large-scale discrepancy (likely correlated lifestyle cluster underestimated by permutation)
Education,0.002789225648493454,0.01453320122964857,7.0,6.0,1.0,0.02599231093491137,0.11835836712696036,4.553416354820515,Large-scale discrepancy (likely correlated lifestyle cluster underestimated by permutation)
Smoker,0.0008321438287113958,0.00961702183677338,8.0,7.0,1.0,0.007754604275246392,0.07832101016414143,10.098634146937984,Large-scale discrepancy (likely correlated lifestyle cluster underestimated by permutation)
Fruits,0.0004936390840281413,0.004148574212875531,9.0,10.0,1.0,0.004600137163020356,0.033785981628002004,7.342963365565838,Large-scale discrepancy (likely correlated lifestyle cluster underestimated by permutation)
Veggies,0.0003777583972092602,0.004840521253896752,10.0,9.0,1.0,0.003520265104345462,0.03942119720229182,11.195180150918938,Large-scale discrepancy (likely correlated lifestyle cluster underestimated by permutation)
