threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,brier_score,ece_10bin,true_negative,false_positive,false_negative,true_positive,false_positive_rate,false_negative_rate,predicted_positive_rate,n,positive_prevalence,calibration_intercept,calibration_slope,subgroup_variable,subgroup,n_positive,n_total,reliability_note,dataset,threshold_strategy
0.5,0.9679675729966282,0.535680840992809,0.16819571865443425,0.08136094674556213,0.9900007352400558,0.10967098703888335,0.7122326978219927,0.036505925120958696,0.08693219492761209,26930,272,621,55,0.009999264759944122,0.9186390532544378,0.011729679317024178,27878,0.024248511370973527,-1.9876966204815771,0.8422136211475151,AgeGroup,18–34,676,27878,,external_temporal,default_0_50
0.5,0.8914171040444582,0.6291608538697059,0.2097661623108666,0.33351558228540185,0.92480612545401,0.25754697065653365,0.771203338109519,0.08850635114476621,0.1643345408990758,28263,2298,1219,610,0.07519387454598998,0.6664844177145981,0.08978079654214263,32390,0.05646804569311516,-1.784837523640212,0.9777985701072704,AgeGroup,35–44,1829,32390,,external_temporal,default_0_50
0.5,0.7444763645860538,0.6658282461721803,0.2454598145285935,0.5629153743907842,0.7687411179535765,0.3418538947934885,0.7395868959027833,0.16725513850373538,0.2417562554290309,25965,7811,1973,2541,0.2312588820464235,0.4370846256092158,0.2703577957691303,38290,0.11788978845651606,-1.6967298506112136,0.8717662935909557,AgeGroup,45–54,4514,38290,,external_temporal,default_0_50
0.5,0.6230145932435701,0.6662253112697701,0.2817327949438202,0.7330135891286971,0.5994370334108432,0.4070257759741289,0.7300759458869955,0.22439635659972174,0.2881426805071969,24490,16365,2338,6419,0.4005629665891568,0.266986410871303,0.45924373135531726,49612,0.17650971539143756,-1.62634583843852,0.8854364897641362,AgeGroup,55–64,8757,49612,,external_temporal,default_0_50
0.5,0.5101598062953995,0.6310553345264432,0.28271597416839284,0.8420431863545637,0.4200674826983228,0.4233067274800456,0.7106894268860635,0.27481849421241766,0.3414184698090138,17056,23547,1741,9281,0.5799325173016772,0.1579568136454364,0.6358934624697337,51625,0.21350121065375302,-1.7234525559514937,0.9431076885016948,AgeGroup,65–74,11022,51625,,external_temporal,default_0_50
0.5,0.4781681953236016,0.6128320814919382,0.2756857497849565,0.8521418020679469,0.37352236091592955,0.4165944540727903,0.6874943785884386,0.2806917974352416,0.34404786486429356,9037,15157,1001,5769,0.6264776390840704,0.14785819793205318,0.6758170778969126,30964,0.21864100245446325,-1.6735731735418273,0.9452667157221951,AgeGroup,75+,6770,30964,,external_temporal,default_0_50
0.35000000000000003,0.9417461797833417,0.5813879744310482,0.11211129296235679,0.20266272189349113,0.9601132269686052,0.14436248682824027,0.7122326978219927,0.036505925120958696,0.08693219492761209,26117,1085,539,137,0.03988677303139475,0.7973372781065089,0.0438338474782983,27878,0.024248511370973527,-1.9876966204815771,0.8422136211475151,AgeGroup,18–34,676,27878,,external_temporal,recall_at_least_80
0.35000000000000003,0.7982401975918494,0.6823322674086436,0.15005948839976205,0.551667577911427,0.8129969569058604,0.23594060563544955,0.771203338109519,0.08850635114476621,0.1643345408990758,24846,5715,820,1009,0.1870030430941396,0.448332422088573,0.20759493670886076,32390,0.05646804569311516,-1.784837523640212,0.9777985701072704,AgeGroup,35–44,1829,32390,,external_temporal,recall_at_least_80
0.35000000000000003,0.5885870984591277,0.6717024454893423,0.19267158873393492,0.78046078865751,0.5629441023211748,0.3090486424843195,0.7395868959027833,0.16725513850373538,0.2417562554290309,19014,14762,991,3523,0.4370558976788252,0.21953921134249002,0.4775398276312353,38290,0.11788978845651606,-1.6967298506112136,0.8717662935909557,AgeGroup,45–54,4514,38290,,external_temporal,recall_at_least_80
0.35000000000000003,0.46190437797307105,0.6312508913791393,0.23288364751779386,0.8929998858056412,0.36950189695263735,0.3694255479969766,0.7300759458869955,0.22439635659972174,0.2881426805071969,15096,25759,937,7820,0.6304981030473626,0.1070001141943588,0.6768322180117713,49612,0.17650971539143756,-1.62634583843852,0.8854364897641362,AgeGroup,55–64,8757,49612,,external_temporal,recall_at_least_80
